Codes,City,Country
AAE,Annaba,ALGERIA
AAR,Aarhus,DENMARK
ABJ,Abidjan,COTE D’IVOIRE
ACJ,Acajutla,EL SALVADOR
ADE,Aden,YEMEN
ADL,Adelaide,AUSTRALIA
AGA,Agadir,MOROCCO
AJB,Al Jubail,SAUDI ARABIA
AKL,Auckland,NEW ZEALAND
ALE,Algeciras,SPAIN
ALG,Algiers,ALGERIA
ALY,Alexandria,EGYPT
AMS,Amsterdam,NETHERLANDS
AMY,Almaty,KAZAKHSTAN
ANR,Antwerp,BELGIUM
ANS,Puerto Angamos,CHILE
AOI,Ancona,ITALY
APP,Apapa,NIGERIA
APW,Apia,SAMOA
AQJ,Aqaba,JORDAN
ASH,Ashdod,ISRAEL
ASU,Asuncion,PARAGUAY
ATK,Astana,KAZAKHSTAN
ATL,Atlanta,U.S.A.
AUA,Aruba,ANTILLES NETH.
AUH,Abu Dhabi,U.A.E.
ATH,Athens,Greece
BAH,Bahrain,BAHRAIN
BAL,Balboa,PANAMA
BAQ,Barranquilla,COLOMBIA
BCN,Barcelona,SPAIN
BEL,Belem,BRAZIL
BEW,Beira,MOZAMBIQUE
BEY,Beirut,LEBANON
BFS,Belfast,U.K.
BGS,Batangas,PHILIPPINES
BJA,Bejaia,ALGERIA
BKI,Kota Kinabalu,MALAYSIA
BKK,Bangkok,THAILAND
BLD,Belawan Deli,INDONESIA
BLU,Bluff,NEW ZEALAND
BME,Broome,AUSTRALIA
BND,Bandar Abbas,IRAN
BNE,Brisbane,AUSTRALIA
BOM,Mumbai,INDIA
BOS,Boston,U.S.A.
BQM,Port Qasim,PAKISTAN
BRE,Bremen/Bremerhaven,GERMANY
BRS,Bristol,U.K.
BTW,Bridgetown,BARBADOS
BVT,Buenaventura,COLOMBIA
BWI,Baltimore,U.S.A.
BZE,Belize,BELIZE
CAS,Casablanca,MOROCCO
CCD,Caucedo,DOMINICAN REP.
CCU,Kolkata,INDIA
CEB,Cebu,PHILIPPINES
CGD,Cigading,INDONESIA
CGP,Chittagong,BANGLADESH
CHI,Chicago,U.S.A.
CHS,Charleston,U.S.A.
CKY,Conakry,GUINEA
CLA,Callao,PERU
CMB,Colombo,SRI LANKA
CMH,Columbus,U.S.A.
CND,Constantza,ROMANIA
CNL,Coronel,CHILE
CNS,Cairns,AUSTRALIA
COK,Cochin,INDIA
